,Rxn_ID,Rxn_name,Rxn_Loc,Rxn_Subsystem,Rxn_kcat,Rxn_genes_rules,Rxn_mW_c,Rxn_mW_m,Rxn_numTMb,Rxn_mW_c_Total,Rxn_mW_m_Total,Rxn_locations_Total,Rxn_count_Tmb_Total
1000,DATPHs,DATP amine hydrolysis (spontaneous),Inner Membrane,Nucleotide Salvage Pathway,nan,s0001,0,0,0,[0.0],[0.0],['Inner Membrane'],[0]
1001,GLCTR1,Glucosyltransferase I (LPS core synthesis),Cytoplasmic,Lipopolysaccharide Biosynthesis / Recycling,4.357545811,b3631,42284.0,0,0,[42284.0],[0.0],['Cytoplasmic'],[0]
1002,LIPAabcpp,Lipid A transport via ABC system (periplasm),Inner Membrane,Lipopolysaccharide Biosynthesis / Recycling,95.19583333,b0914,64461.0,11740.31959,5,[64461.0],[11740.31959],['Inner Membrane'],[5]
1003,LIPACabcpp,Lipid (cold) A transport via ABC system (periplasm),Inner Membrane,Lipopolysaccharide Biosynthesis / Recycling,95.19583333,b0914,64461.0,11740.31959,5,[64461.0],[11740.31959],['Inner Membrane'],[5]
1004,GGGABADr_f,Gamma-glutamyl-gamma aminobutyric acid dehydrogenase,Cytoplasmic,Alternate Carbon Metabolism,3.71,b1300,53419.0,0,0,[53419.0],[0.0],['Cytoplasmic'],[0]
1005,EX_mso3_e_f,Methanesulfonate exchange,Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
1006,EX_23camp_e_f,"2',3'-Cyclic AMP exchange",Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
1007,EX_23cgmp_e_f,"2',3'-Cyclic GMP exchange",Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
1008,EX_23cump_e_f,"2',3'-Cyclic UMP exchange",Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
1009,EX_3amp_e_f,3'-AMP exchange,Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
1010,EX_3gmp_e_f,3'-GMP exchange,Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
1011,EX_3ump_e_f,3'-UMP exchange,Exchange,Extracellular exchange,nan,,0,0,0,[0],[0],['Exchange'],[0]
