,forward,reverse
3OAS160,0.011,
DXYLK,0.5,
PGP161abcpp,95.19583333,
ALAALAr,14.7,14.7
MCTP1Bpp,79.47949376,
PPPGO,0.292,
3HPPtpp,,
GSNt3pp,22.0,
EAR161y,5.3,
GTHS,6.752,
ADNK1,879.0,
PGSA161,1.0,
GLYC2Pabcpp,95.19583333,
SUCTARTtpp,22.0,22.0
MELIBtex,100000000.0,100000000.0
CD2t3pp,22.0,
LALDO2x,3.3,
MTHFR2,32.7,
INDOLEt2rpp,22.0,
HOMtex,100000000.0,100000000.0
DOGULNR,213.4339433,
MLDCP2App,106.3,
3OXCOAT,7.8,
NADPHXD,0.33,
APH180,1.55e-06,
AACPS1,21.94,
GDPDPK,73.0,
S4FE4SR,22.0,
GLUCYS,33.31666667,
IDOND,213.4339433,76.08846667
G6PP,2.49,
3HAD181,368.4865,
CCGS,5.289444444,
IPDPS,3.7,
VALtex,100000000.0,100000000.0
HEX4,,
GUI2,2.4,196.0
PUNP5,6200.0,111.6666667
PETNT161pp,1.0,
TYROXDApp,2.775,
GALCTND,1.08,
CHLabcpp,95.19583333,
MOHMT,0.781,
EGMEACPR,5.3,
ASNN,24.0,
NTD5,0.195,
PTPATi,4.7,
O16AP2pp,18.3185,
ECAP2pp,18.3185,
PAPA180pp,152.0,
GLNabcpp,95.19583333,
G3PEabcpp,95.19583333,
DHFR,21.75,22.6
LALALGLUtpp,22.0,
HPPPNtex,100000000.0,100000000.0
NNDPR,0.13,
AMALT3,1.3,
CDAPPA160,90.13177273,
NTD7,750.0,
CRNCAL2,11.5895,
ECOAH5,380.5,7.5465
K2L4Aabctex,95.19583333,
GLUNpp,0.33,
PERD,1.4,1.0
PPPGO3,0.292,
UDPG4E,0.52,20.15
ALAGLUE,17.0,17.0
DRPA,68.0,
UACGAMtex,100000000.0,100000000.0
URItex,100000000.0,100000000.0
EAR161x,5.3,
NADHHR,73.6,
ARGORNt7pp,22.0,22.0
SARCOX,25.025,
HSDy,7.0125,156.7
FA80ACPHi,0.004,
AM3PA,25.0,
ECAtpp,22.0,
FLDR2,21.925,
METSOXR1,0.048,
HEPT3,79.47949376,
DCYTD,3.5,
MINCYCtpp,22.0,
ACPPAT141,1500.0,
HACD4,229.0,0.004
NTP3pp,250.5,
H2SO,,
AACPS4,21.94,
CHTBSptspp,3204.0,
6D6SPA,13.15414286,
RPE,873.3,1300.0
ATPPRT,2.7,
ALLULPE,9201.8125,9201.8125
CA2tex,100000000.0,100000000.0
SELNPS,0.25,
GLYt2pp,22.0,
CRNDCAL2,11.5895,
MLDCP1Bpp,106.3,
CPGNabcpp,95.19583333,
PPND,27.36,
PHEMEabcpp,95.19583333,
PRAIS,1.08,
METSOXR2,3.455,
PLIPA1G180pp,2.48,
GALCTNLtex,100000000.0,100000000.0
MSO3abcpp,95.19583333,
EAR80y,5.3,
MDDEP4pp,1.41,
ACGAL1PPpp,,
ACOXT,13.0,11.0
ALDD3y,45.1,
HACD7,229.0,0.004
LYXtex,100000000.0,100000000.0
HPYRRy,29.73333333,
PGP160abcpp,95.19583333,
HPPPNt2rpp,22.0,22.0
MDH,138.5,1108.0
UAAGDS,1.3,
3OAS140,1.28,
THMabcpp,95.19583333,
PRCPD,1.71,
HCINNMt2rpp,22.0,22.0
HDCEAtexi,100000000.0,
S7PI,0.44,
FE3HOXR2,,
PRFGS,2.5,
KARA1,0.028,0.96
SUCOAS,26.21,201.0
AI2K,7.6,
MALtex,100000000.0,100000000.0
2AGPGAT180,0.016,
ASNS2,0.82,
BMOGDS2,0.0048,
HETZK,14.80483333,
EAR141y,5.3,
FDMO3,0.86,
ACACT5r,1.4,14.8
METDtex,100000000.0,100000000.0
DKGLCNR2y,6.725,
GALCTLO,76.08846667,
PGPP160,24.0,
G1PACT,840.5,
DDCAtexi,100000000.0,
