Gamma,Z_Level,Y_Level,rx_EX_ac_e_f,rx_EX_co2_e_f,rx_EDD,rx_MALS,rx_AKGDH,rx_ATPS4rpp_f,rx_BIOMASS_Ec_iML1515_WT_75p37M,rx_EX_glc__D_e_b
0.2,0.01,0.0,6.5187711088798,20.3540306054854,0.0,2.59481551499436,0.0,51.1924927283022,0.695001794578143,10.3072371415567
0.2,0.01,0.0,6.68171824983139,20.6013494139893,0.0,2.62495451655543,0.0,51.1324021796148,0.697739235083154,10.4214501255921
0.2,0.01,0.0,6.88073174215463,20.9037447100278,0.0,2.66205595555012,0.0,51.059060129986,0.701075458379241,10.5609501171631
0.2,0.01,0.0,7.11941736860241,21.2667500679008,0.0,2.70683957061408,0.0,50.9711457032143,0.705069751097399,10.7282658170232
0.2,0.01,0.0,7.53456062385771,21.4355945897689,0.0,2.62251730153212,0.0,50.8084755311491,0.709633493763799,10.9259259259259
0.2,0.01,0.0,8.11420555296502,21.4461269353833,0.0,2.425778349104,0.0,50.5765991469476,0.714846662726932,11.1564591446248
0.2,0.01,0.0,8.78279006557158,21.458308296162,0.0,2.19880714285594,0.0,50.3091105056484,0.720861180841323,11.4223941738735
0.2,0.01,0.0,9.54681126013093,21.4721951655241,0.0,1.93948453134374,0.0,50.0034736424378,0.727732659704955,11.7262597144254
0.2,0.01,0.0,10.4127629467877,21.4879368961947,0.0,1.645807287421,0.0,49.657097935725,0.735506991787037,12.0705844670342
0.2,0.01,0.0,11.3872978581983,21.5055744394085,0.0,1.31576434290555,0.0,49.2674256729565,0.744232637650701,12.4578971324533
0.2,0.01,0.0,12.4763012639104,21.5253154603839,0.0,0.946926716784435,0.0,48.831952732172,0.753983713060902,12.8907264114365
0.2,0.01,0.0,13.6862176153168,21.5472316688837,0.0,0.537151418168049,0.0,48.3481445732186,0.764817186325789,13.3716010047371
0.2,0.01,0.0,15.0234105086466,21.5714376774089,0.0,0.0842837976898658,0.0,47.8134572089503,0.77679002575351,13.9030496131088
0.2,0.01,0.0,16.1043271535564,20.7660449363029,0.0,0.0007035479703774,0.0,47.1084243580186,0.788730908494841,14.4876009373051
0.2,0.01,0.0,17.2034961613269,19.6993813662338,0.0,0.0007149706350793,0.0,46.3086649131703,0.801536586411856,15.1277836780795
0.2,0.01,0.0,18.4025583407663,18.5358053752819,0.0,0.0007274310402216,0.0,45.4362526796481,0.815505650472753,15.8261265361857
0.2,0.01,0.0,19.7057518748679,17.2711242067185,0.0,0.0007409743049539,0.0,44.4880143797308,0.830688682683781,16.5851582123771
0.2,0.01,0.0,21.1175219434308,15.9011040452764,0.0,0.0007556455484256,0.0,43.4608052441317,0.84713626505119,17.4074074074074
0.2,0.01,0.0,22.6486616916544,14.3708276823638,0.0,0.0007702893593032,0.0,41.8691160510779,0.863553093389337,18.29540282203
0.2,0.01,0.0,24.3107189836113,9.93846169451956,0.0,0.0007837860743544,0.0,40.1578527644149,0.878683939859371,19.2516731569986
0.2,0.01,0.0,26.2522719909971,5.64979700721221,0.733801766031573,0.0007967570472087,0.0,38.3643053198646,0.893225389247369,20.2787471130666
0.2,0.01,0.0,28.6244332883789,4.6102042997021,2.98268367108097,0.0008079944566724,0.0,37.0433052537146,0.905823381919769,21.3791533909877
0.2,0.01,0.0,31.1599661405066,3.49926468035983,5.38601853501535,0.0008200090457687,0.0,35.6313081517265,0.919292652207131,22.5554206915154
0.2,0.01,0.0,33.8645343985737,2.31416748096592,7.94974193534993,0.0008328230405324,0.0,34.1251805844027,0.933658117188843,23.8100777154032
