Reaction ID,Reaction name,Reaction equation,EC number,Enzyme molar mass [g/mol],Turnover number (kcat) [1/s]
ALKP,Alkaline phosphatase,dhap_c + h2o_c  -> pi_c + dha_c ,3.1.3.-,20779.25,749.8136875
S7PI,Sedoheptulose 7-phosphate isomerase,s7p_c  -> gmhep7p_c ,5.3.1.28,20814.17,0.44
NTPP9,Nucleoside triphosphate pyrophosphorylase (itp),h2o_c + itp_c  -> h_c + imp_c + ppi_c ,3.6.1.66,21038.21,911.7
NTPP10,Nucleoside triphosphate pyrophosphorylase (ditp),ditp_c + h2o_c  -> h_c + dimp_c + ppi_c ,3.6.1.66,21038.21,152.4
NTPP11,Nucleoside triphosphate pyrophosphorylase (xtp),xtp_c + h2o_c  -> h_c + ppi_c + xmp_c ,3.6.1.66,21038.21,1009
4PCPpp,"Tetrapeptide L,D-carboxypeptidase (periplasm)",h2o_p + LalaDgluMdapDala_p  -> LalaDgluMdap_p + ala__D_p ,3.4.17.13,21039.15,160
AGM4PCPpp,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase (periplasmic)",h2o_p + anhgm4p_p  -> anhgm3p_p + ala__D_p ,3.4.17.13,21039.15,160
FOMETRi,Aminomethyltransferase,h_c + 5fthf_c  -> h2o_c + methf_c ,6.3.3.2,21104.81,1.515
ALAALAD,D-alanine-D-alanine dipeptidase,h2o_c + alaala_c  -> 2 ala__D_c ,3.4.13.22,21212.46,22.85
MPTAT,Molybdopterin adenylyltransferase,h_c + mpt_c + atp_c  -> mptamp_c + ppi_c ,2.7.7.75,21221.7,0.0012
PPPGO,Protoporphyrinogen oxidase (aerobic),1.5 o2_c + pppg9_c  -> ppp9_c + 3 h2o_c ,1.3.5.3,21225.62,0.292
PPPGO3,Protoporphyrinogen oxidase (anaerobic),3 fum_c + pppg9_c  -> ppp9_c + 3 succ_c ,1.3.5.3,21225.62,0.292
DCTPD,DCTP deaminase,h_c + dctp_c + h2o_c  -> dutp_c + nh4_c ,3.5.4.13,21248.57,1.24
TDPDRE,"DTDP-4-dehydrorhamnose 3,5-epimerase",dtdp4d6dg_c  -> dtdp4d6dm_c ,5.1.3.13,21269.43,39
